0032|test_0032_SET_add_num_will_fail|tests/00_check_setup/test_04_class_based.py::TestSample::test_0032_SET_add_num_will_fail|FAILED|0.001241|
0040|test_0040_SET_open|tests/00_check_setup/test_05_mock.py::test_0040_SET_open|PASSED|0.004046|
0041|test_0041_open2|tests/00_check_setup/test_05_mock.py::test_0041_open2|PASSED|0.000423|
0100|test_0100_SQL_db_column_type|tests/01_inspect/test_db_schema_sqlmodel.py::test_0100_SQL_db_column_type|PASSED|0.001012|
0101|test_0101_SQL_db_artist_has_no_fk|tests/01_inspect/test_db_schema_sqlmodel.py::test_0101_SQL_db_artist_has_no_fk|PASSED|0.004619|
0163|test_0163_update_pet|tests/10_py_api_pets/test_pets.py::test_0163_update_pet|PASSED|0.503797|
0177|test_0177_page_has_docs_link[chromium]|tests/20_playwright/general/test_00_args.py::test_0177_page_has_docs_link[chromium]|PASSED|1.753345|
0187|test_0187_get_started_link[chromium]|tests/20_playwright/general/test_03_test_attribute.py::test_0187_get_started_link[chromium]|PASSED|1.491229|
0206|test_0206_dynamic_table[chromium]|tests/20_playwright/ui_testing_playground/test_13_dynamic_table.py::test_0206_dynamic_table[chromium]|PASSED|1.735492|
0213|test_0213_nbsp[chromium]|tests/20_playwright/ui_testing_playground/test_18_nbsp.py::test_0213_nbsp[chromium]|PASSED|3.940081|
0176|test_0176_update_user|tests/20_playwright/api/test_04_crud_methods.py::test_0176_update_user|PASSED|0.40506|
